/products/57002002/cmapi020535.html  地理编码    将详细的结构化地址转换为高德经纬度坐标。且支持对地标性名胜景区、建筑物名称解析为高德经纬度坐标。结构化地址举例：北京市朝阳区阜通东大街6号转换后经纬度：116.480881,39.989410 地。  
/products/57002002/cmapi010402.html  印刷文字识别-驾驶证识别（限时3.5折，云栖特享，低至0.008元/次起）  开发者,应用开发,OCR,阿里云官方  一次性购买越多，单价越低，低至0.008元／次；驾驶证识别服务用于自动从图片中定位驾驶证图片，以及从包含驾驶证的图片中提取驾驶人员的身份信息。（0元体验不可重复购买。  
/products/57002002/cmapi020540.html  输入提示    提供根据用户输入的关键词查询返回建议列表。  
/products/57002002/cmapi018957.html  IP定位  开发者,应用开发,IP地址,API,应用开发  将IP信息转换为地理位置信息。  
/products/57002002/cmapi028585.html  飞机航班信息查询（国内）  数据API,数据  查询国内所有航线航班信息，提供最低价格信息。  
/products/57002002/cmapi020534.html  逆地理编码    将经纬度转换为详细结构化的地址，且返回附近周边的POI、AOI信息。  
/products/57002002/cmapi020539.html  行政区域查询    根据用户输入的搜索条件可以帮助用户快速的查找特定的行政区域信息。  
/products/57002002/cmapi014969.html  经纬度地址解析  最新活动,API,生活服务  根据提供的谷歌地图坐标、百度地图坐标或GPS坐标，查询位置信息。  
/products/57002002/cmapi018256.html  车辆违章查询直连版_易源数据  开发者,应用开发,违章查询接口/API,违章查询,数据应用,生活服务,应用开发  支持上海、浙江、江苏、广东、天津、四川、山东、福建、北京、陕西、内蒙等地的违章直连查询接口，支持的城市列表请拉到页面下方查看。  
/products/57002002/cmapi026718.html  全国住宅居民小区位置数据  企业,应用开发,商业智能,数据API,数据应用,可视化,API  为您提供全国住宅小区位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式查询得到住宅小区所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi020538.html  静态地图  开发者  静态地图服务通过返回一张地图图片响应HTTP请求，使用户能够将高德地图以图片形式嵌入自己的网页中。  
/products/57002002/cmapi025531.html  翔云-车牌识别API【图像 图片识别OCR】（支持新能源）  企业,应用开发,图像识别,商业智能,人工智能,生活服务,政法方案  车牌识别服务，可快速精准的从图片中定位车牌图片区域，可识别普通蓝牌、普通黄牌(单层)、双层黄牌、新能源车牌、军牌、武警车牌、使馆车牌、农用车牌等各种规格汽车号牌。  
/products/57002002/cmapi018575.html  航班实时起降时间查询  开发者,APP,数据API,数据应用,API,生活服务,应用开发  提供国内国际航班实时起降时间、机场出发时刻表、以及两地间当天所有计划航班等信息查询。  
/products/57002002/cmapi029806.html  飞机航班信息查询（国际）  数据API,数据,API  查询国际所有航线航班信息，提供最低价格信息。  
/products/57002002/cmapi020076.html  蜻蜓识别  企业,上云,自动识别接口,图像识别,人工智能,API  蜻蜓智慧云接口，提供基于图像、视频短片、RTSP视频流的车脸识别服务，识别车辆基本信息包含车牌、车标、车色、车型、车款等、深度识别行人与车辆关系、车内饰信息等。  
/products/57002002/cmapi022518.html  GPS经纬度转换、GPS纠偏【离线纠偏代码】  天气预报,IP地址,API  手机GPS坐标（WGS84）、火星坐标（GCJ02）、百度坐标系（BD09）之间相互转换。可提供离线纠偏代码，有java、c#、php、js、object-C、C++等多个语言版本。  
/products/57002002/cmapi014928.html  地图坐标服务  API,应用开发  支持百度、谷歌、GPS三大经纬度互相转化。  
/products/57002002/cmapi011038.html  POI检索_易源数据  开发者,上云,商业智能,数据API,金融,应用开发,股市行情与汇率  可通过关键词查询在某个地区的POI信息。比如在北京查询“银行”，接口将会输出所有银行的地理信息列表。  
/products/57002002/cmapi026606.html  全国停车场位置数据  企业,APP,商业智能,数据API,数据应用,API,生活服务  为您提供全国停车场位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式查询得到停车场所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi013518.html  地理位置坐标转换  数据API,数据应用,数据,API  实现GPS坐标、百度坐标、谷歌坐标之间的相互转换（同时支持腾讯地图坐标，高德地图坐标等。  
/products/57002002/cmapi014977.html  电信基站定位  最新活动,API,生活服务  通过电信基站的BID（Cellid）和SID、NID进行基站位置查询或基站定位。  
/products/57002002/cmapi011037.html  全国车辆交通违章查询_易源数据  开发者,上云,违章查询接口/API,违章查询,数据API,生活服务,应用开发  不是软件开发者请不要买! 根据车牌号、引擎号、车架号资料查询违章信息。本接口融合了多个省、市地区违章查询接口和多个第三方渠道，以做最大覆盖及容错轮询，保证最大可能性的稳定。支持的城市请拉到页面下方查看。  
/products/57002002/cmapi026808.html  全国商务大厦办公写字楼位置数据  企业,应用开发,大数据可视化,商业智能,数据应用,数据,可视化  为您提供全国商务大厦写字楼位置数据，支持区域查询、经纬度距离周边查询、关键字查询多种方式查询得到商务大厦写字楼所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
/products/57002002/cmapi014975.html  移动联通基站定位  最新活动,API,生活服务  通过移动联通基站的CID和LAC进行基站位置查询,基站定位,基站覆盖95%以上。  
/products/57002002/cmapi019321.html  全国车辆违章查询[企业版]  企业,APP,违章查询接口/API,违章查询,数据API,生活服务,应用开发  本API服务用于互联网产品开发，车主用户自查违章或不了解使用方式，请勿购买！全国车辆违章查询直连渠道，支持大车小车违章查询，可返回文书号及违章状态，支持全国300多城市，违章秒回！更多优惠请联系客服。  
/products/57002002/cmapi029833.html  全国违章查询  开发者,应用开发,违章查询接口/API,驾驶证识别,违章查询,数据API,API  车辆违章数据。  
/products/57002002/cmapi029836.html  行驶证OCR识别  开发者,应用开发,图像识别,OCR,API  可以识别行驶证正面照片（请务必清楚，BASE64格式的图片，注：请求参数以及返回参数说明见帮助文档。  
/products/57002002/cmapi028846.html  运价估算查询  开发者,应用开发,数据API,数据,API  通过输入起终点，估算运价，时间，走势等数据。  
/products/57002002/cmapi028850.html  全国农家乐位置数据  开发者,应用开发,大数据可视化,数据大屏,商业智能,数据API,可视化  全国农家乐位置数据，按区域名称查询得到该区域内所有或者包含特定关键字的全国农家乐位置数据的相关信息，包括名称、所属的省、市、区、具体地址、联系方式、经纬度坐标（WGS-84。  
